cod_comuna,ag,cod_barrio,barrio,formalidad,ue026a1_nu,ciiu_2,label_ciiu2,ciiu_3,label_ciiu3,ciiu_4,label_ciiu4,x,y
1,843028,115,AGUACATAL,Formal,1,17,Fabricacion de productos textiles,173,Acabado de productos textiles no producidos en la misma unidad de producción,1730,Acabado de productos textiles no producidos en la misma unidad de producción,1058742.529,874077.6754
1,843029,115,AGUACATAL,Informal,2,20,"Transformacion de la madera y fabricacion de productos de madera y de corcho, excepto muebles",209,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería",2090,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería.",1058662.046,874145.9615
1,843029,115,AGUACATAL,Formal,2,15,Elaboracion de productos alimenticios y de bebidas,154,"Elaboración de productos de molinería, de almidones y productos derivados del almidón y alimentos preparados para animales",1542,Elaboración de almidones y de productos derivados del almidón,1058635.53,874087.7241
1,843029,115,AGUACATAL,Informal,2,20,"Transformacion de la madera y fabricacion de productos de madera y de corcho, excepto muebles",201,"Aserrado, acepillado e impregnación de la madera",2010,"Aserrado, acepillado e impregnación de la madera",1058684.333,874126.4222
1,843029,115,AGUACATAL,Informal,1,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1058679.233,874115.0585
1,843032,115,AGUACATAL,Informal,2,15,Elaboracion de productos alimenticios y de bebidas,154,"Elaboración de productos de molinería, de almidones y productos derivados del almidón y alimentos preparados para animales",1542,Elaboración de almidones y de productos derivados del almidón,1058246.272,874470.1288
1,843032,115,AGUACATAL,Formal,2,20,"Transformacion de la madera y fabricacion de productos de madera y de corcho, excepto muebles",209,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería",2090,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería.",1058548.53,874456.8722
1,843037,115,AGUACATAL,Informal,2,36,Fabricacion de muebles,369,Industrias manufactureras ncp,3699,Otras industrias manufactureras ncp. ,1058519.154,874340.7852
1,843038,115,AGUACATAL,Informal,4,19,Curtido y preparado de cueros,192,Fabricación de calzado,1929,Fabricación de calzado ncp,1058551.332,874262.8366
1,843038,115,AGUACATAL,Informal,1,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1058613.622,874226.5118
1,843039,115,AGUACATAL,Informal,1,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1058646.614,874153.0457
2,843056,136,SANTA RITA,Informal,1,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1058617.255,873458.7649
2,843056,136,SANTA RITA,Formal,4,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1058558.097,873433.347
2,843060,146,ARBOLEDAS,Formal,4,19,Curtido y preparado de cueros,192,Fabricación de calzado,1929,Fabricación de calzado ncp,1058353.604,873114.3013
2,843075,138,SANTA TERESITA,Formal,1,15,Elaboracion de productos alimenticios y de bebidas,154,"Elaboración de productos de molinería, de almidones y productos derivados del almidón y alimentos preparados para animales",1541,Elaboración de productos de molinería,1058393.004,873280.9386
2,843093,131,TERRON COLORADO,Formal,4,15,Elaboracion de productos alimenticios y de bebidas,154,"Elaboración de productos de molinería, de almidones y productos derivados del almidón y alimentos preparados para animales",1542,Elaboración de almidones y de productos derivados del almidón,1058399.175,873618.0587
2,843094,136,SANTA RITA,Formal,2,15,Elaboracion de productos alimenticios y de bebidas,152,"Elaboración de frutas, legumbres, hortalizas, aceites y grasas de origen vegetal y animal",1521,"Elaboración de alimentos compuestos principalmente  de frutas, legumbres y hortalizas",1058542.777,873577.7181
2,843104,128,NORMANDIA,Informal,1,15,Elaboracion de productos alimenticios y de bebidas,159,Elaboración de bebidas,1594,Elaboración de bebidas no alcohólicas; producción de aguas minerales,1059531.031,873517.3887
2,843106,52,SIN DEFINIR,Formal,2,35,Fabricacion de otros tipos de equipo de transporte,359,Fabricación de otros tipos de equipo de transporte ncp,3591,Fabricación de motocicletas,1059198.644,874295.9389
2,843106,52,SIN DEFINIR,Informal,1,36,Fabricacion de muebles,369,Industrias manufactureras ncp,3699,Otras industrias manufactureras ncp. ,1059281.226,874290.2043
2,843121,127,JUANAMBU,Informal,1,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1060209.295,874104.072
2,843122,127,JUANAMBU,Formal,1,15,Elaboracion de productos alimenticios y de bebidas,154,"Elaboración de productos de molinería, de almidones y productos derivados del almidón y alimentos preparados para animales",1542,Elaboración de almidones y de productos derivados del almidón,1060135.24,873970.3245
2,843134,135,CENTENARIO,Formal,3,29,Fabricacion de maquinaria y equipo ncp,292,Fabricación de maquinaria de uso especial,2929,Fabricación de otros tipos de maquinaria de uso especial  ncp,1059891.747,873493.9375
2,843134,135,CENTENARIO,Formal,3,29,Fabricacion de maquinaria y equipo ncp,292,Fabricación de maquinaria de uso especial,2929,Fabricación de otros tipos de maquinaria de uso especial  ncp,1059880.535,873486.8972
2,843134,135,CENTENARIO,Formal,9,30,"Fabricacion de maquinaria de oficina, contabilidad e informatica",300,"Fabricación de maquinaria de oficina, contabilidad e informática",3000,"Fabricación de maquinaria de oficina , contabilidad  e informática",1059893.82,873433.4988
2,843137,127,JUANAMBU,Formal,3,27,Fabricacion de productos metalurgicos basicos,271,Industrias básicas de hierro y de acero,2710,Industrias básicas de hierro y de acero,1059997.025,873675.3848
2,843141,127,JUANAMBU,Formal,4,15,Elaboracion de productos alimenticios y de bebidas,154,"Elaboración de productos de molinería, de almidones y productos derivados del almidón y alimentos preparados para animales",1541,Elaboración de productos de molinería,1060170.429,873759.4979
2,843151,116,GRANADA,Formal,2,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1060411.685,873969.9443
2,843155,116,GRANADA,Formal,2,19,Curtido y preparado de cueros,192,Fabricación de calzado,1921,"Fabricación de calzado de cuero y piel; con cualquier tipo de suela, excepto el calzado deportivo",1060442.659,874089.8307
2,843155,116,GRANADA,Formal,3,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1060404.865,874070.2584
2,843157,116,GRANADA,Informal,6,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1060541.064,874026.4687
2,843160,116,GRANADA,Informal,1,36,Fabricacion de muebles,369,Industrias manufactureras ncp,3699,Otras industrias manufactureras ncp. ,1060611.734,874138.529
2,843167,110,VERSALLES,Formal,2,36,Fabricacion de muebles,361,Fabricación de muebles,3619,Fabricación de otros muebles  ncp,1060809.035,874345.2848
2,843167,110,VERSALLES,Formal,8,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1060800.815,874301.0539
2,843172,116,GRANADA,Formal,7,33,"Fabricacion de instrumentos medicos, opticos y de precision y fabricacion de relojes",333,Fabricación de relojes,3312,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar y otros fines, excepto equipo de control de procesos industriales.",1060448.537,874523.9622
2,843172,116,GRANADA,Formal,6,36,Fabricacion de muebles,361,Fabricación de muebles,3611,Fabricación de muebles para el hogar,1060436.708,874507.6093
2,843179,116,GRANADA,Formal,1,19,Curtido y preparado de cueros,193,"Fabricación de artículos de viaje, bolsos de mano, y artículos similares; fabricación de artículos de talabartería y guarnicionería",1932,"Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en materiales sintéticos, plásticos e imitaciones de cuero.",1060357.059,874139.4118
2,843182,116,GRANADA,Formal,3,20,"Transformacion de la madera y fabricacion de productos de madera y de corcho, excepto muebles",209,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería",2090,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería.",1060362.036,874444.3629
2,843182,116,GRANADA,Formal,4,36,Fabricacion de muebles,361,Fabricación de muebles,3611,Fabricación de muebles para el hogar,1060383.921,874487.6059
2,843184,116,GRANADA,Formal,5,30,"Fabricacion de maquinaria de oficina, contabilidad e informatica",300,"Fabricación de maquinaria de oficina, contabilidad e informática",3000,"Fabricación de maquinaria de oficina , contabilidad  e informática",1060078.528,874450.6736
2,843185,116,GRANADA,Informal,1,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1060308.127,874613.759
2,843193,116,GRANADA,Informal,1,17,Fabricacion de productos textiles,171,Preparación e hilatura de fibras textiles,1710,Preparación e hilatura de fibras textiles.,1060275.431,874719.5228
2,843194,91,SANTA MONICA RESIDENCIAL,Formal,3,17,Fabricacion de productos textiles,173,Acabado de productos textiles no producidos en la misma unidad de producción,1730,Acabado de productos textiles no producidos en la misma unidad de producción,1060520.606,874593.2652
2,843194,91,SANTA MONICA RESIDENCIAL,Informal,2,19,Curtido y preparado de cueros,192,Fabricación de calzado,1929,Fabricación de calzado ncp,1060543.447,874576.9093
2,843194,91,SANTA MONICA RESIDENCIAL,Formal,2,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1060482.732,874562.94
2,843195,116,GRANADA,Formal,8,26,Fabricacion de otros productos minerales no metalicos,269,Fabricación de productos minerales no metálicos ncp,2692,Fabricación de productos de cerámica refractaria,1060600.506,874448.6156
2,843199,110,VERSALLES,Informal,4,30,"Fabricacion de maquinaria de oficina, contabilidad e informatica",300,"Fabricación de maquinaria de oficina, contabilidad e informática",3000,"Fabricación de maquinaria de oficina , contabilidad  e informática",1060706.405,874395.9134
2,843203,110,VERSALLES,Informal,1,15,Elaboracion de productos alimenticios y de bebidas,159,Elaboración de bebidas,1594,Elaboración de bebidas no alcohólicas; producción de aguas minerales,1060896.146,874283.0625
2,843203,110,VERSALLES,Formal,2,17,Fabricacion de productos textiles,173,Acabado de productos textiles no producidos en la misma unidad de producción,1730,Acabado de productos textiles no producidos en la misma unidad de producción,1060962.164,874255.4533
2,843203,110,VERSALLES,Formal,5,32,"Fabricacion de equipo y aparatos de radio, television y comunicaciones",321,Fabricación de tubos y válvulas electrónicas y de otros componentes electrónicos,3210,Fabricación de tubos y válvulas electrónicas y de otros componentes electrónicos,1060994.003,874252.6735
2,843203,110,VERSALLES,Formal,2,31,Fabricacion de maquinaria y aparatos electricos ncp,319,Fabricación de otros tipos de equipo eléctrico n.c.p,3190,Fabricación de otros tipos de equipo eléctrico  ncp,1060928.415,874260.8812
2,843203,110,VERSALLES,Informal,5,29,Fabricacion de maquinaria y equipo ncp,291,Fabricación de maquinaria de uso general,2915,Fabricación de equipo de elevación y manipulación,1060947.975,874255.8237
2,843204,110,VERSALLES,Informal,11,30,"Fabricacion de maquinaria de oficina, contabilidad e informatica",300,"Fabricación de maquinaria de oficina, contabilidad e informática",3000,"Fabricación de maquinaria de oficina , contabilidad  e informática",1061013.94,874182.0235
2,843205,110,VERSALLES,Formal,11,22,Actividades de edicion e impresion y de reproduccion de grabaciones,221,Actividades de edición,2211,"Edición de libros, folletos, partituras y otras publicaciones",1061070.948,874274.5794
2,843208,110,VERSALLES,Formal,5,30,"Fabricacion de maquinaria de oficina, contabilidad e informatica",300,"Fabricación de maquinaria de oficina, contabilidad e informática",3000,"Fabricación de maquinaria de oficina , contabilidad  e informática",1060867.267,874489.5881
2,843208,110,VERSALLES,Informal,3,25,Fabricacion de productos de caucho y de plastico,252,Fabricación de productos de plástico,2521,Fabricación de formas básicas de plástico ,1060904.586,874454.9292
2,843216,110,VERSALLES,Formal,5,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1061202.596,874521.6829
2,843217,110,VERSALLES,Formal,16,24,Fabricacion de sustancias y productos quimicos,242,Fabricación de otros productos químicos,2423,"Fabricación de productos, farmacéuticos, sustancias químicas medicinales y productos botánicos.",1061037.521,874616.0582
2,843220,91,SANTA MONICA RESIDENCIAL,Formal,4,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1060846.987,874763.7065
2,843222,91,SANTA MONICA RESIDENCIAL,Formal,1,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1060715.399,874571.3958
2,843224,91,SANTA MONICA RESIDENCIAL,Formal,3,15,Elaboracion de productos alimenticios y de bebidas,151,"Producción, transformación y conservación de carne y pescado",1511,"Producción, transformación y conservación de carne y derivados cárnicos",1060626.042,874685.627
2,843224,91,SANTA MONICA RESIDENCIAL,Formal,3,21,Fabricacion de papel,210,"Fabricación de papel, cartón y productos de papel y cartón",2102,"Fabricación de papel y cartón ondulado, fabricación de envases, empaques y de embalajes de papel y cartón.",1060637.885,874689.3315
2,843225,91,SANTA MONICA RESIDENCIAL,Informal,2,36,Fabricacion de muebles,369,Industrias manufactureras ncp,3691,Fabricación de joyas y de artículos conexos,1060672.764,874685.9476
2,843227,91,SANTA MONICA RESIDENCIAL,Formal,1,34,"Fabricacion de vehiculos automotores, remolques y semirremolques",341,Fabricación de vehículos automotores y sus motores,3410,Fabricación de vehículos automotores y sus motores,1060796.811,874778.5474
2,843229,91,SANTA MONICA RESIDENCIAL,Formal,4,19,Curtido y preparado de cueros,192,Fabricación de calzado,1929,Fabricación de calzado ncp,1060637.033,874711.2933
2,843233,91,SANTA MONICA RESIDENCIAL,Formal,3,29,Fabricacion de maquinaria y equipo ncp,292,Fabricación de maquinaria de uso especial,2929,Fabricación de otros tipos de maquinaria de uso especial  ncp,1060774.112,874880.5618
2,843234,91,SANTA MONICA RESIDENCIAL,Formal,5,19,Curtido y preparado de cueros,193,"Fabricación de artículos de viaje, bolsos de mano, y artículos similares; fabricación de artículos de talabartería y guarnicionería",1931,"Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero; fabricación de artículos de talabartería y guarnicionería",1060813.875,874958.2381
2,843235,91,SANTA MONICA RESIDENCIAL,Formal,3,22,Actividades de edicion e impresion y de reproduccion de grabaciones,223,Actividades de servicios relacionadas con las de impresión,2231,"Arte, diseño y composición",1060674.701,875000.3234
2,843237,91,SANTA MONICA RESIDENCIAL,Formal,6,25,Fabricacion de productos de caucho y de plastico,252,Fabricación de productos de plástico,2521,Fabricación de formas básicas de plástico ,1060545.364,874921.6011
2,843237,91,SANTA MONICA RESIDENCIAL,Formal,4,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1060548.585,874894.9923
2,843242,91,SANTA MONICA RESIDENCIAL,Formal,3,31,Fabricacion de maquinaria y aparatos electricos ncp,315,Fabricación de lámparas eléctricas y equipos de iluminación,3150,Fabricación de lámparas eléctricas y equipo  de iluminación,1060598.84,875134.9376
2,843243,91,SANTA MONICA RESIDENCIAL,Formal,3,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1060647.32,875201.5439
2,843246,91,SANTA MONICA RESIDENCIAL,Formal,4,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1060815.576,875048.6765
2,843248,52,SIN DEFINIR,Informal,25,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1060447.812,875073.7899
2,843250,91,SANTA MONICA RESIDENCIAL,Formal,6,30,"Fabricacion de maquinaria de oficina, contabilidad e informatica",300,"Fabricación de maquinaria de oficina, contabilidad e informática",3000,"Fabricación de maquinaria de oficina , contabilidad  e informática",1060859.922,875269.6292
2,843250,91,SANTA MONICA RESIDENCIAL,Formal,3,27,Fabricacion de productos metalurgicos basicos,272,Industrias básicas de metales preciosos y de metales no ferrosos,2721,Industrias básicas de metales preciosos,1060856.399,875234.0908
2,843250,91,SANTA MONICA RESIDENCIAL,Formal,3,22,Actividades de edicion e impresion y de reproduccion de grabaciones,224,Reproducción de materiales grabados,2240,Reproducción de materiales grabados,1060867.974,875214.6347
2,843251,91,SANTA MONICA RESIDENCIAL,Formal,10,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1060909.654,875345.236
2,843251,91,SANTA MONICA RESIDENCIAL,Formal,2,36,Fabricacion de muebles,361,Fabricación de muebles,3611,Fabricación de muebles para el hogar,1060969.41,875314.9011
2,843251,91,SANTA MONICA RESIDENCIAL,Formal,4,15,Elaboracion de productos alimenticios y de bebidas,158,Elaboración de otros productos alimenticios,1581,"Elaboración de cacao, chocolate y productos  de confitería",1060925.539,875311.5653
2,843252,91,SANTA MONICA RESIDENCIAL,Formal,20,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1061005.493,875409.2423
2,843252,91,SANTA MONICA RESIDENCIAL,Formal,3,17,Fabricacion de productos textiles,173,Acabado de productos textiles no producidos en la misma unidad de producción,1730,Acabado de productos textiles no producidos en la misma unidad de producción,1061008.597,875384.0863
2,843252,91,SANTA MONICA RESIDENCIAL,Formal,30,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1060970.97,875338.5932
2,843254,91,SANTA MONICA RESIDENCIAL,Formal,4,20,"Transformacion de la madera y fabricacion de productos de madera y de corcho, excepto muebles",209,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería",2090,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería.",1060828.364,875384.9877
2,843254,91,SANTA MONICA RESIDENCIAL,Formal,2,20,"Transformacion de la madera y fabricacion de productos de madera y de corcho, excepto muebles",209,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería",2090,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería.",1060895.608,875358.1288
2,843254,91,SANTA MONICA RESIDENCIAL,Formal,8,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1060890.117,875338.6865
2,843254,91,SANTA MONICA RESIDENCIAL,Formal,4,15,Elaboracion de productos alimenticios y de bebidas,158,Elaboración de otros productos alimenticios,1581,"Elaboración de cacao, chocolate y productos  de confitería",1060867.638,875316.0873
2,843257,91,SANTA MONICA RESIDENCIAL,Formal,5,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1060826.84,875419.3842
2,843265,52,SIN DEFINIR,Formal,2,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1060645.078,875428.6887
2,843270,91,SANTA MONICA RESIDENCIAL,Formal,2,19,Curtido y preparado de cueros,193,"Fabricación de artículos de viaje, bolsos de mano, y artículos similares; fabricación de artículos de talabartería y guarnicionería",1939,"Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados con materiales ncp",1060880.446,875587.7079
2,843271,91,SANTA MONICA RESIDENCIAL,Formal,2,15,Elaboracion de productos alimenticios y de bebidas,154,"Elaboración de productos de molinería, de almidones y productos derivados del almidón y alimentos preparados para animales",1541,Elaboración de productos de molinería,1060907.326,875525.3803
2,843271,91,SANTA MONICA RESIDENCIAL,Formal,12,21,Fabricacion de papel,210,"Fabricación de papel, cartón y productos de papel y cartón",2109,Fabricación de otros artículos de papel y cartón,1060972.533,875552.1122
2,843272,91,SANTA MONICA RESIDENCIAL,Formal,2,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1061043.391,875468.1588
2,843273,91,SANTA MONICA RESIDENCIAL,Formal,110,24,Fabricacion de sustancias y productos quimicos,242,Fabricación de otros productos químicos,2423,"Fabricación de productos, farmacéuticos, sustancias químicas medicinales y productos botánicos.",1061174.756,875626.1606
2,843277,91,SANTA MONICA RESIDENCIAL,Formal,7,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1061167.278,875694.8055
2,843283,92,SAN VICENTE,Formal,3,22,Actividades de edicion e impresion y de reproduccion de grabaciones,222,Actividades de impresión,2220,Actividades de impresión,1061234.948,875619.7228
2,843290,92,SAN VICENTE,Informal,3,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1061322.519,875425.489
2,843290,92,SAN VICENTE,Formal,8,17,Fabricacion de productos textiles,171,Preparación e hilatura de fibras textiles,1710,Preparación e hilatura de fibras textiles.,1061371.506,875401.7207
2,843291,92,SAN VICENTE,Formal,2,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1061209.89,875438.6648
2,843291,92,SAN VICENTE,Formal,4,18,Fabricacion de prendas de vestir,181,"Fabricación de prendas de vestir, excepto las de piel",1810,"Fabricación de prendas de vestir, excepto prendas de piel",1061233.376,875424.2518
